id. Response ID,submitdate. Date submitted,lastpage. Last page,startlanguage. Start language,seed. Seed,startdate. Date started,datestamp. Date last action,"G01Q63. Dear Participant(s),  Thank you very much for your interest in this research, and welcome to the survey.  My name is Syed, and I am conducting this survey as part of my Master's research project at the Technical University of Munich (TUM), under t","G01Q62. {if(is_empty(G01Q62), rand(1,4), G01Q62)} ","Q00. How often do you use public transport services for intercity (long-distance) travel, i.e. +/- 100 km or longer trips? ",G02Q64[SQ001]. Please state how often do you use public transport for the following categories of intercity trips: [Time Critical Trips:Business/Work/Study(I need to arrive on time)],G02Q64[SQ002]. Please state how often do you use public transport for the following categories of intercity trips: [Non-Time Critical Trips:Leisure(I am not in a hurry)],G01Q02[SQ001]. Please state how often you use the following transport modes for intercity trips:  [Train (DB Intercity)],G01Q02[SQ002]. Please state how often you use the following transport modes for intercity trips:  [Train (DB Regiobahn)],G01Q02[SQ003]. Please state how often you use the following transport modes for intercity trips:  [Bus or Coach (e.g. FlixBus)],G01Q02[SQ004]. Please state how often you use the following transport modes for intercity trips:  [Car Pooling (e.g. BlaBlaCar)],"G01Q02[SQ005]. Please state how often you use the following transport modes for intercity trips:  [Hired Car (e.g. SixT, Miles, Hertz, etc.)]",G01Q02[SQ006]. Please state how often you use the following transport modes for intercity trips:  [Private (Own or Company) Car],G01Q02[SQ007]. Please state how often you use the following transport modes for intercity trips:  [Flight],"G01Q03. How often do you manage to reach your intercity destination on time, without time delays? ",G01Q04. How much in advance do you usually book your tickets for intercity trips (e.g. DB tickets)? ,"G01Q05[SQ001]. Please indicate what are your general preferences in intercity (long-distance) trips between the 3 following aspects: travel time, ticket cost, and reliability (delay risk):   [Cost vs TimeCheaper but slower (A)orMore expensive but faster (","G01Q05[SQ002]. Please indicate what are your general preferences in intercity (long-distance) trips between the 3 following aspects: travel time, ticket cost, and reliability (delay risk):   [Cost vs Reliability (Delay Risk)Cheaper but less reliable (A)or","G01Q05[SQ003]. Please indicate what are your general preferences in intercity (long-distance) trips between the 3 following aspects: travel time, ticket cost, and reliability (delay risk):   [Time vs Reliability (Delay Risk)Slower but more reliable (A)orF","G03Q06. This section showcases 10 hypothetical scenarios where you travel by train from Munich central station (München Hauptbahnhof) to one of the 2 intercity destinations, a shorter trip to Stuttgart or a longer trip to Berlin.      	 		 			MUC - STR 		",G02Q07NTC4_T2_C:30/45_HS/LS_STR01.  ,G02Q08TC5_T2_C:30/45_LL/LS_STR02. ,G02Q09NTC2_T2_C:30/45_HL/LL_STR03. ,G02Q10TC3_T2_C:30/45_HL/LS_STR04.  ,G02Q11NTC3_T2_C:30/45_HL/LS_STR05. ,G16Q30. Note: You will now see questions about a longer intercity trip (from Munich to Berlin). ,G02Q12TC3_T4_C:60/90_HL/LS_BER01. ,G02Q13NTC3_T4_C:60/90_HL/LS_BER02.   ,G02Q14TC4_T4_C:60/90_HS/LS_BER03. ,G02Q15NTC5_T4_C:60/90_LL/LS_BER04. ,G02Q16TC1_T4_C:60/90_HL/HS_BER05. ,G04Q65. Set_1,G05Q30TC3_T2_C:30/45_HL/LS_STR01. ,G05Q31NTC3_T2_C:30/45_HL/LS_STR02. ,G05Q32TC4_T2_C:30/45_HS/LS_STR03. ,G05Q33NTC5_T2_C:30/45_LL/LS_STR04. ,G05Q34TC1_T2_C:30/45_HL/HS_STR05. ,G05Q35. Note: You will now see questions about a longer intercity trip (from Munich to Berlin). ,G05Q36NTC4_T4_C:60/90_HS/LS_BER01. ,G05Q37TC5_T4_C:60/90_LL/LS_BER02. ,G05Q38NTC2_T4_C:60/90_HL/LL_BER03. ,G05Q39TC3_T4_C:60/90_HL/LS_BER04. ,G05Q40NTC3_T4_C:60/90_HL/LS_BER05. ,G05Q66. Set_2,G06Q41NTC4_T2_C:30/45_HS/LS_STR01. ,G06Q42TC5_T2_C:30/45_LL/LS_STR02. ,G06Q43TC1_T2_C:30/45_HL/HS_STR03. ,G06Q44NTC1_T2_C:30/45_HL/HS_STR04. ,G06Q45TC2_T2_C:30/45_HL/LL_STR05. ,G06Q46. Note: You will now see questions about a longer intercity trip (from Munich to Berlin). ,G06Q47NTC1_T4_C:60/90_HL/HS_BER01. ,G06Q48TC2_T4_C:60/90_HL/LL_BER02. ,G06Q49NTC2_T4_C:60/90_HL/LL_BER03. ,G06Q50TC4_T4_C:60/90_HS/LS_BER04. ,G06Q51NTC5_T4_C:60/90_LL/LS_BER05. ,G06Q67. Set_3,G07Q55NTC1_T2_C:30/45_HL/HS_STR01. ,G07Q56TC2_T2_C:30/45_HL/LL_STR02. ,G07Q52NTC2_T2_C:30/45_HL/LL_STR03. ,G07Q53TC4_T2_C:30/45_HS/LS_STR04. ,G07Q54NTC5_T2_C:30/45_LL/LS_STR05. ,G07Q57. Note: You will now see questions about a longer intercity trip (from Munich to Berlin). ,G07Q58NTC4_T4_C:60/90_HS/LS_BER01. ,G07Q59TC5_T4_C:60/90_LL/LS_BER02. ,G07Q60TC1_T4_C:60/90_HL/HS_BER03. ,G07Q61NTC1_T4_C:60/90_HL/HS_BER04. ,G07Q62TC2_T4_C:60/90_HL/LL_BER05. ,G07Q68. Set_4,"G07Q62. In this last section, we kindly ask you to answer a few general questions about yourself. Please note that all responses are anonymous and will be treated with confidentiality, used solely for research purposes.",G15Q21. What is your Age? ,G15Q22. What is your Gender?,G01Q23. What is your 'Net Monthly Income (Individual)'?    ,G01Q24. Where do you live (Residential Location Type)?,G15Q25. What is your Education background? ,G15Q26. What is your Employment Status? ,G15Q26[other]. What is your Employment Status?  [Other],G01Q27. Do you have a valid car Driving License in Germany? ,G01Q29. Do you have access to car? ,G01Q28. Do you have a seasonal ticket (e.g. monthly ticket) for your public transport trips? ,G01Q28[other]. Do you have a seasonal ticket (e.g. monthly ticket) for your public transport trips?  [Other],"G13Q20. Your input is highly valuable for our research on long-distance train travel.  If you have any comments, suggestions, or feedback about the survey experience - or especially if you would like to share insights from your intercity travel experience",interviewtime. Total time,groupTime1873. Group time: Passenger travel survey: which intercity train should I choose…?,G01Q63Time. Question time: G01Q63,groupTime1864. Group time: Section I. Intercity Travel Experience,G01Q62Time. Question time: G01Q62,Q00Time. Question time: Q00,G02Q64Time. Question time: G02Q64,G01Q02Time. Question time: G01Q02,G01Q03Time. Question time: G01Q03,G01Q04Time. Question time: G01Q04,G01Q05Time. Question time: G01Q05,groupTime1870. Group time:  Section II. Hypothetical Intercity Train Choices,G03Q06Time. Question time: G03Q06,groupTime1865. Group time: Section II. Hypothetical Intercity Train Choices,G02Q07NTC4STR01Time. Question time: G02Q07NTC4STR01,G02Q08TC5STR02Time. Question time: G02Q08TC5STR02,G02Q09NTC2STR03Time. Question time: G02Q09NTC2STR03,G02Q10TC3STR04Time. Question time: G02Q10TC3STR04,G02Q11NTC3STR05Time. Question time: G02Q11NTC3STR05,G16Q30Time. Question time: G16Q30,G02Q12TC3BER01Time. Question time: G02Q12TC3BER01,G02Q13NTC3BER02Time. Question time: G02Q13NTC3BER02,G02Q14TC4BER03Time. Question time: G02Q14TC4BER03,G02Q15NTC5BER04Time. Question time: G02Q15NTC5BER04,G02Q16TC1BER05Time. Question time: G02Q16TC1BER05,G04Q65Time. Question time: G04Q65,groupTime1868. Group time: Section II. Hypothetical Intercity Train Choices,G05Q30TC3STR01Time. Question time: G05Q30TC3STR01,G05Q31NTC3STR02Time. Question time: G05Q31NTC3STR02,G05Q32TC4STR03Time. Question time: G05Q32TC4STR03,G05Q33NTC5STR04Time. Question time: G05Q33NTC5STR04,G05Q34TC1STR05Time. Question time: G05Q34TC1STR05,G05Q35Time. Question time: G05Q35,G05Q36NTC4BER01Time. Question time: G05Q36NTC4BER01,G05Q37TC5BER02Time. Question time: G05Q37TC5BER02,G05Q38NTC2BER03Time. Question time: G05Q38NTC2BER03,G05Q39TC3BER04Time. Question time: G05Q39TC3BER04,G05Q40NTC3BER05Time. Question time: G05Q40NTC3BER05,G05Q66Time. Question time: G05Q66,groupTime1867. Group time: Section II. Hypothetical Intercity Train Choices,G06Q41NTC4STR01Time. Question time: G06Q41NTC4STR01,G06Q42TC5STR02Time. Question time: G06Q42TC5STR02,G06Q43TC1STR03Time. Question time: G06Q43TC1STR03,G06Q44NTC1STR04Time. Question time: G06Q44NTC1STR04,G06Q45TC2STR05Time. Question time: G06Q45TC2STR05,G06Q46Time. Question time: G06Q46,G06Q47NTC1BER01Time. Question time: G06Q47NTC1BER01,G06Q48TC2BER02Time. Question time: G06Q48TC2BER02,G06Q49NTC2BER03Time. Question time: G06Q49NTC2BER03,G06Q50TC4BER04Time. Question time: G06Q50TC4BER04,G06Q51NTC5BER05Time. Question time: G06Q51NTC5BER05,G06Q67Time. Question time: G06Q67,groupTime1866. Group time: Section II. Hypothetical Intercity Train Choices,G07Q55NTC1STR01Time. Question time: G07Q55NTC1STR01,G07Q56TC2STR02Time. Question time: G07Q56TC2STR02,G07Q52NTC2STR03Time. Question time: G07Q52NTC2STR03,G07Q53TC4STR04Time. Question time: G07Q53TC4STR04,G07Q54NTC5STR05Time. Question time: G07Q54NTC5STR05,G07Q57Time. Question time: G07Q57,G07Q58NTC4BER01Time. Question time: G07Q58NTC4BER01,G07Q59TC5BER02Time. Question time: G07Q59TC5BER02,G07Q60TC1BER03Time. Question time: G07Q60TC1BER03,G07Q61NTC1BER04Time. Question time: G07Q61NTC1BER04,G07Q62TC2BER05Time. Question time: G07Q62TC2BER05,G07Q68Time. Question time: G07Q68,groupTime1872. Group time: Section III. Final Section – About You (Socio Demographics - Anonymous Data),G07Q62Time. Question time: G07Q62,groupTime1871. Group time: Section III. Final Section – About You (Socio Demographics - Anonymous Data),G15Q21Time. Question time: G15Q21,G15Q22Time. Question time: G15Q22,G01Q23Time. Question time: G01Q23,G01Q24Time. Question time: G01Q24,G15Q25Time. Question time: G15Q25,G15Q26Time. Question time: G15Q26,G01Q27Time. Question time: G01Q27,G01Q29Time. Question time: G01Q29,G01Q28Time. Question time: G01Q28,groupTime1869. Group time: Thank you for completing the survey!!,G13Q20Time. Question time: G13Q20
14,9/9/25 23:33,68,de,1370845630,9/9/25 23:30,9/9/25 23:33,,2,I don’t use public transport for intercity trips,,,,,,,,,,In around 50 % of the trips,,Strongly A,Strongly A,Strongly A,,,,,,,,,,,,,,Train A,Train A,Train A,Train B,Train B,,Train A,Train B,Train A,Train A,Train A,,,,,,,,,,,,,,,,,,,,,,,,,,,51 - 65,Other,Above 4000 €,"Small Town (e.g. Freising, Dachau, Memmingen)","University (Bachelor, Master, PhD)",Retired,,Yes,No,"Yes – Local or regional seasonal ticket (e.g., IsarCard, 365-Euro-Ticket, or similar)",,its me,173,,8.72,,,12.76,,,3.42,,5.83,,9.71,,,,,,,,,,,,,,,10.32,9.98,5.64,2.42,3.39,2.37,4.99,2.78,3.54,3.78,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,,36.1,2.4,2.72,3.06,2.23,13.06,3.13,1.83,3.31,,9.69
28,9/11/25 20:19,68,de,181103664,9/11/25 20:04,9/11/25 20:19,,2,Less often (e.g. every few months),(Almost) Never,Min. 1-2 times per year,(Almost) Never,Min. 1-2 times per year,Min. 1-2 times per year,(Almost) Never,(Almost) Never,(Almost) Never,Min. 1-2 times per year,Often,More than 1 month in advance,Rather B,Strongly B,Strongly A,,,,,,,,,,,,,,Train A,Train B,Train B,Train B,Train B,,Train B,Train B,Train A,Train B,Train A,,,,,,,,,,,,,,,,,,,,,,,,,,,51 - 65,Female,Under 1000 €,"Large City (e.g. Berlin, Munich, Stuttgart)",Apprenticeship /Vocational Training,Full or Part time worker,,No,,Yes – Deutschlandticket,,,751.89,,14.37,,,19.21,70.04,63.13,19.3,21.06,62.12,,109.02,,,,,,,,,,,,,,,49.87,20.98,31.26,15,40.13,8.69,28.81,26.16,15.97,13.11,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,8.63,6.93,13.29,9.59,9.85,9.08,9.36,,11.07,,21.45
30,9/14/25 20:28,68,en,2091477878,9/14/25 20:22,9/14/25 20:28,,1,Min. 1-2 times per month,Min. 3-5 times per year,Min. 1-2 times per month,Min. 3-5 times per year,(Almost) Never,Min. 1-2 times per year,(Almost) Never,(Almost) Never,Min. 1-2 times per month,Min. 1-2 times per month,In around 50 % of the trips,Up to 3 days before traveling,Rather B,Rather B,Rather A,,Train A,Train B,Train A,Train B,Train B,,Train B,Train A,Train B,Train A,Train B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 - 35,Male,3000 - 4000 €,"Large City (e.g. Berlin, Munich, Stuttgart)","University (Bachelor, Master, PhD)",Full or Part time worker,,Yes,Yes (private or company car),Yes – Deutschlandticket,,,353.41,,3.1,,,7.89,11.94,23.97,10.4,4.01,12.4,,4.31,,16.91,21.68,23.85,5.18,7.45,2.01,129.36,13.59,7.1,4.22,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,,3.06,2.54,5.51,3.3,3.63,4.28,2.96,2.27,3.45,,6.22
31,9/14/25 20:38,68,en,395568504,9/14/25 20:29,9/14/25 20:38,,3,Less often (e.g. every few months),Min. 3-5 times per year,Min. 1-2 times per year,Min. 3-5 times per year,Min. 1-2 times per year,Min. 3-5 times per year,(Almost) Never,(Almost) Never,Min. 3-5 times per year,Min. 3-5 times per year,In around 50 % of the trips,Up to 2-4 weeks in advance,Strongly B,Rather B,Rather B,,,,,,,,,,,,,,,,,,,,,,,,,,Train A,Train B,Train B,Train B,Train B,,Train A,Train A,Train A,Train A,Train A,,,,,,,,,,,,,,,36 - 50,Male,Above 4000 €,"Large City (e.g. Berlin, Munich, Stuttgart)","University (Bachelor, Master, PhD)",Full or Part time worker,,Yes,No,Yes – Deutschlandticket,,,543.79,,19.78,,,11.65,27.96,43.37,28.58,8.73,65.34,,58.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.24,23.98,34.81,17.69,22.18,3.14,14.29,16.23,7.75,16.87,9.17,,,,,,,,,,,,,,,,2.15,,3.92,3.85,8.94,5.95,6.5,8.18,7.32,5.41,6.66,,30.99
37,9/14/25 21:02,68,en,1457495351,9/14/25 20:36,9/14/25 21:02,,2,Less often (e.g. every few months),Min. 3-5 times per year,Min. 1-2 times per year,Min. 1-2 times per year,(Almost) Never,Min. 1-2 times per year,(Almost) Never,(Almost) Never,Min. 1-2 times per year,Min. 1-2 times per year,In around 50 % of the trips,Up to 2-4 weeks in advance,Rather A,Neutral,Neutral,,,,,,,,,,,,,,Train B,Train A,Train A,Train A,Train A,,Train A,Train A,Train A,Train B,Train A,,,,,,,,,,,,,,,,,,,,,,,,,,,26 - 35,Male,1000 - 2000 €,"Large City (e.g. Berlin, Munich, Stuttgart)","University (Bachelor, Master, PhD)",Full or Part time worker,,Yes,Yes (private or company car),"Yes – Local or regional seasonal ticket (e.g., IsarCard, 365-Euro-Ticket, or similar)",,,1563,,119.94,,,12,39.07,50,11.6,11.91,704,,46.27,,,,,,,,,,,,,,,25.84,20.86,16.73,12.57,22.99,5.15,323.15,17.93,11.01,10.19,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,,6.73,6.04,9.8,8.11,10.76,5.78,13.36,5.04,9.89,,10.01
44,9/15/25 21:02,68,en,861256774,9/15/25 20:47,9/15/25 21:02,,1,Less often (e.g. every few months),(Almost) Never,Min. 1-2 times per year,Min. 1-2 times per year,Min. 1-2 times per year,Min. 1-2 times per year,(Almost) Never,(Almost) Never,(Almost) Never,(Almost) Never,In around 50 % of the trips,More than 1 month in advance,Rather A,Rather A,Rather A,,Train A,Train B,Train A,Train B,Train B,,Train A,Train A,Train A,Train A,Train A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 - 35,Male,1000 - 2000 €,"Large City (e.g. Berlin, Munich, Stuttgart)","University (Bachelor, Master, PhD)",Student,,No,,Yes – Deutschlandticket,,Its me Syed,958.64,,129.54,,,30.28,27,79.69,9.97,54.21,299.77,,5.04,,14.56,22.21,30.75,25.87,20.43,12.65,15.8,17.3,11.66,7.7,36.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,,6.07,3.99,8.63,11.49,8.45,6.28,3.57,,3.67,,51.93
54,9/17/25 10:16,68,en,1635600855,9/17/25 9:56,9/17/25 10:16,,1,Min. 1-2 times per month,Min. 3-5 times per year,Min. 1-2 times per month,Min. 1-2 times per year,Min. 1-2 times per month,Min. 1-2 times per month,Min. 1-2 times per month,Min. 3-5 times per year,Min. 1-2 times per year,(Almost) Never,Often,Up to 1 week in advance,Neutral,Neutral,Neutral,,Train A,Train B,Train A,Train B,Train A,,Train B,Train A,Train A,Train A,Train B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 - 35,Male,1000 - 2000 €,"Large City (e.g. Berlin, Munich, Stuttgart)","University (Bachelor, Master, PhD)",Full or Part time worker,,No,,No,,,1218.97,,71.93,,,29.45,44.39,210.2,113.14,96.45,88.83,,87.95,,29.05,12.43,75.44,22.28,45.28,10.56,45.09,36.18,49.15,19.15,18.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,,9.01,3.83,24.85,10.18,6.52,12.4,10.04,,21.11,,10.93
59,9/17/25 17:31,68,en,519532839,9/17/25 17:23,9/17/25 17:31,,2,Less often (e.g. every few months),Min. 3-5 times per year,Min. 3-5 times per year,(Almost) Never,Min. 1-2 times per year,(Almost) Never,(Almost) Never,(Almost) Never,Min. 3-5 times per year,Min. 3-5 times per year,Often,Up to 3 days before traveling,Rather B,Neutral,Neutral,,,,,,,,,,,,,,Train A,Train A,Train A,Train A,Train A,,Train A,Train A,Train A,Train A,Train A,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 25,Male,1000 - 2000 €,"Large City (e.g. Berlin, Munich, Stuttgart)","University (Bachelor, Master, PhD)",Student,,No,,Yes – Deutschlandticket,,,442.85,,8.94,,,63.1,57.62,44.97,10.34,11.76,64,,19.14,,,,,,,,,,,,,,,19.23,10.08,16.9,9.77,8.83,2.73,8.01,7.08,10.74,7.35,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,5.83,3.64,6.56,4.96,6.26,9,8.08,,5.2,,5.08
60,9/17/25 17:29,68,en,310762956,9/17/25 17:23,9/17/25 17:29,,3,Min. 1-2 times per week,Min. 1-2 times per year,Min. 1-2 times per month,(Almost) Never,Min. 1-2 times per month,Min. 3-5 times per year,Min. 3-5 times per year,(Almost) Never,(Almost) Never,Min. 1-2 times per year,Often,Up to 2-4 weeks in advance,Neutral,Rather B,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,Train A,Train B,Train A,Train B,Train B,,Train B,Train B,Train A,Train A,Train A,,,,,,,,,,,,,,,26 - 35,Male,1000 - 2000 €,"Large City (e.g. Berlin, Munich, Stuttgart)","University (Bachelor, Master, PhD)",Student,,No,,Yes – Deutschlandticket,,,337.09,,4.62,,,8.94,36.57,66.11,9.74,11,31.3,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.38,12.98,11,18.32,3.69,3.55,6.07,2.77,8.87,3.62,3.18,,,,,,,,,,,,,,,,1.42,,3.78,2.97,13.93,9.06,5.76,7.51,4.05,,3.28,,10.42
63,9/17/25 19:51,68,en,1132235484,9/17/25 19:47,9/17/25 19:51,,3,3+ times per week,Min. 1-2 times per week,Min. 1-2 times per month,Min. 1-2 times per month,Min. 1-2 times per month,Min. 1-2 times per month,Min. 1-2 times per month,Min. 1-2 times per month,Min. 3-5 times per year,Min. 3-5 times per year,Often,Up to 3 days before traveling,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,Train A,Train B,Train B,Train A,Train A,,Train A,Train B,Train A,Train B,Train A,,,,,,,,,,,,,,,26 - 35,Male,1000 - 2000 €,"Medium City (e.g. Regensburg, Ingolstadt, Ulm)","University (Bachelor, Master, PhD)",Full or Part time worker,,No,,Yes – Deutschlandticket,,,253.22,,10.02,,,7.5,17.98,8.54,12.9,7.07,15.14,,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17,6.07,6.58,6.86,7.7,29.01,6.72,7.98,4.67,7.75,14.86,,,,,,,,,,,,,,,,2.94,,4.37,3.06,4.75,3.96,4.82,5.95,5.37,,9.18,,4.19
