Response_ID,Set_Assigned,Age_Middle_Age,Age_Old,Age_Young,Income_High,Income_Low,Income_Middle,Location_Large_City,Location_Medium_City,Location_Small_City,Education_University,Education_Vocational_Non_Univ,Employment_Employed,Employment_Not_Employed_Other,Employment_Student_Working,PT_Intercity_freq_Frequent_User,PT_Intercity_freq_Non_User,PT_Intercity_freq_Occasional_User,PT_Intercity_freq_Rare_User,PT_Freq_TC_Frequent,PT_Freq_TC_Infrequent,PT_Freq_TC_Occasional,PT_Freq_NTC_Frequent,PT_Freq_NTC_Infrequent,PT_Freq_NTC_Occasional,PT_DB_IC_Frequent,PT_DB_IC_Infrequent,PT_DB_IC_Occasional,PT_DB_Rb_Frequent,PT_DB_Rb_Infrequent,PT_DB_Rb_Occasional,Coach_Frequent,Coach_Infrequent,Coach_Occasional,BlaBla_Frequent,BlaBla_Infrequent,BlaBla_Occasional,HiredCar_Infrequent,HiredCar_Occasional,PrivateCar_Frequent,PrivateCar_Infrequent,PrivateCar_Occasional,Flight_Infrequent,Flight_Occasional,On_Time_Expectancy_Low,On_Time_Expectancy_Medium,On_Time_Expectancy_High,Pre_Book_Time_Advance_Booking,Pre_Book_Time_LastMinute_Booking,Pre_Book_Time_Early_Booking,Car_License_No,Car_License_Yes,Gender_Female,Gender_Male,Gender_Other,Gender_No_Answer,Car_No,Car_Yes,PT_No,PT_Other,PT_Ticket_Yes_DT,PT_Ticket_Yes_Local,PT_Ticket_other_disability_NS_Flex,PT_other_Yes_DT_Students,TripPurpose_Code,delay_LS,delay_LL,delay_HS,delay_HL,delta_risk_zugA,delta_risk_zugB,delta_delay_zugA,delta_delay_zugB,STR,BER,delta_risk,delta_delay,cost_zug_A,cost_zug_B,time_STR,time_BER,time_STR_BER,TripPurpose_Non_Time_Critical,TripPurpose_Time_Critical,Choice_ZugA,Choice_ZugB
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.4,0.1,2,1,1,0,1,1,30,45,2,0,2,0,1,1,0
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.4,0.1,2,1,1,0,1,1,30,45,2,0,2,1,0,0,1
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.4,0.1,1,1,1,0,1,0,30,45,2,0,2,0,1,0,1
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.1,0.1,2,1,1,0,0,1,30,45,2,0,2,1,0,0,1
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.4,0.4,2,1,1,0,0,1,30,45,2,0,2,0,1,0,1
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.4,0.1,1,1,0,1,1,0,60,90,0,4,4,1,0,0,1
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.1,0.1,2,1,0,1,0,1,60,90,0,4,4,0,1,0,1
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4,0.1,2,2,0,1,1,0,60,90,0,4,4,1,0,1,0
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.4,0.1,2,1,0,1,1,1,60,90,0,4,4,0,1,0,1
28,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4,0.1,2,1,0,1,1,1,60,90,0,4,4,1,0,1,0
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.4,0.1,1,1,1,0,1,0,30,45,2,0,2,1,0,1,0
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.1,0.1,2,1,1,0,0,1,30,45,2,0,2,0,1,0,1
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.4,0.1,2,2,1,0,1,0,30,45,2,0,2,1,0,1,0
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.4,0.1,2,1,1,0,1,1,30,45,2,0,2,0,1,0,1
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.4,0.1,2,1,1,0,1,1,30,45,2,0,2,1,0,0,1
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.4,0.1,2,1,0,1,1,1,60,90,0,4,4,0,1,0,1
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.4,0.1,2,1,0,1,1,1,60,90,0,4,4,1,0,1,0
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.4,0.1,1,1,0,1,1,0,60,90,0,4,4,0,1,0,1
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.1,0.1,2,1,0,1,0,1,60,90,0,4,4,1,0,1,0
30,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.4,0.4,2,1,0,1,0,1,60,90,0,4,4,0,1,0,1
31,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.4,0.1,1,1,1,0,1,0,30,45,2,0,2,1,0,1,0
31,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0.1,0.1,2,1,1,0,0,1,30,45,2,0,2,0,1,0,1
31,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.4,0.4,2,1,1,0,0,1,30,45,2,0,2,0,1,0,1
31,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.4,0.4,2,1,1,0,0,1,30,45,2,0,2,1,0,0,1
